基金代码,基金名称,单位净值|日期,日增长率,近1周,近1月,近3月,近6月,近1年,近2年,近3年,今年来,成立来,手续费|起购金额,操作,基金链接
161903,万家行业优选混合(LOF),2.105611-24,-0.01%,1.01%,9.01%,11.49%,37.70%,102.12%,246.29%,203.74%,87.61%,942.67%,0.15%1.50%100元,买入定投,http://fund.eastmoney.com/161903.html
100060,富国高新技术产业混合,4.409011-24,-0.23%,1.17%,10.11%,14.40%,72.16%,111.67%,233.08%,155.09%,87.54%,515.00%,0.15%1.50%100元,买入定投,http://fund.eastmoney.com/100060.html
005911,广发双擎升级混合A,3.141811-24,-0.36%,0.61%,5.81%,-1.80%,24.06%,70.98%,229.88%,---,51.36%,229.81%,0.15%1.50%100元,买入定投,http://fund.eastmoney.com/005911.html
001679,前海开源中国稀缺资产混合A,2.618011-24,0.69%,2.15%,6.55%,4.22%,49.34%,92.08%,225.62%,217.33%,82.95%,161.80%,0.15%1.50%100元,买入定投,http://fund.eastmoney.com/001679.html
002079,前海开源中国稀缺资产混合C,2.741011-24,0.70%,2.16%,6.53%,4.18%,49.29%,91.95%,225.15%,220.96%,82.86%,174.10%,0.15%1.50%100元,买入定投,http://fund.eastmoney.com/002079.html
481010,工银中小盘混合,3.160011-24,1.22%,2.46%,11.15%,17.25%,71.27%,127.17%,223.77%,146.49%,104.40%,216.00%,0.15%1.50%100元,买入定投,http://fund.eastmoney.com/481010.html
002939,广发创新升级混合,2.957511-24,-0.21%,0.50%,6.35%,-1.59%,27.03%,80.24%,221.99%,128.18%,60.26%,208.52%,0.15%1.50%10元,买入定投,http://fund.eastmoney.com/002939.html
002669,华商万众创新混合,2.084011-24,-0.24%,0.24%,6.82%,11.56%,52.79%,111.36%,221.60%,161.15%,98.48%,108.40%,0.15%1.50%100元,买入定投,http://fund.eastmoney.com/002669.html
000263,工银信息产业混合,3.878011-24,-0.31%,0.62%,9.58%,17.27%,76.51%,110.42%,221.56%,164.53%,97.45%,353.39%,0.15%1.50%100元,买入定投,http://fund.eastmoney.com/000263.html
001694,华安沪港深外延增长混合,3.693011-24,-0.40%,1.82%,7.32%,7.17%,62.12%,94.68%,220.57%,156.24%,80.23%,288.21%,0.15%1.50%100元,买入定投,http://fund.eastmoney.com/001694.html
519002,华安安信消费混合,3.584011-24,-0.14%,1.01%,5.50%,1.88%,46.64%,93.73%,213.01%,146.32%,79.92%,334.01%,0.15%1.50%100元,买入定投,http://fund.eastmoney.com/519002.html
003516,国泰融安多策略灵活配置混合,2.922711-24,0.07%,2.32%,9.49%,6.52%,40.66%,78.00%,212.89%,186.45%,68.51%,192.27%,0.15%1.50%100元,买入定投,http://fund.eastmoney.com/003516.html
161818,银华消费主题混合,1.765311-24,-0.86%,3.37%,11.21%,12.02%,58.92%,78.94%,212.85%,92.61%,72.39%,169.30%,0.15%1.50%100元,买入定投,http://fund.eastmoney.com/161818.html
000336,农银研究精选混合,3.076411-24,1.59%,4.58%,8.52%,17.41%,81.58%,138.19%,209.50%,107.89%,113.67%,207.64%,0.15%1.50%100元,买入定投,http://fund.eastmoney.com/000336.html
001832,易方达瑞恒灵活配置混合,2.324011-24,-0.73%,1.44%,13.20%,16.37%,62.18%,81.56%,209.45%,---,72.92%,132.40%,0.06%0.60%100元,买入定投,http://fund.eastmoney.com/001832.html
005812,鹏华产业精选,2.173311-24,-1.05%,-1.31%,8.73%,8.05%,45.94%,74.44%,207.44%,---,70.07%,117.33%,0.15%1.50%100元,买入定投,http://fund.eastmoney.com/005812.html
519133,海富通改革驱动混合,2.545011-24,-0.55%,1.68%,6.31%,6.98%,56.71%,107.92%,206.26%,136.09%,83.62%,199.68%,0.15%1.50%100元,买入定投,http://fund.eastmoney.com/519133.html
481015,工银主题策略混合,4.144011-24,1.10%,2.57%,12.55%,18.60%,73.24%,115.50%,201.60%,89.83%,96.40%,314.40%,0.15%1.50%100元,买入定投,http://fund.eastmoney.com/481015.html
001856,易方达环保主题混合,2.797011-24,0.21%,1.19%,12.42%,15.34%,67.69%,104.91%,201.40%,154.74%,85.11%,179.70%,0.15%1.50%100元,买入定投,http://fund.eastmoney.com/001856.html
519778,交银经济新动力混合,2.919911-24,-0.36%,1.36%,6.61%,-0.38%,41.30%,62.54%,199.63%,151.98%,47.93%,191.99%,0.15%1.50%100元,买入定投,http://fund.eastmoney.com/519778.html
001606,农银工业4.0混合,2.881511-24,1.75%,4.88%,10.78%,21.59%,88.90%,135.19%,198.57%,98.01%,119.76%,188.15%,0.15%1.50%100元,买入定投,http://fund.eastmoney.com/001606.html
001959,华商乐享互联灵活配置混合,1.586011-24,0.70%,4.55%,18.89%,14.02%,44.18%,85.28%,198.12%,93.65%,68.19%,58.60%,0.15%1.50%100元,买入定投,http://fund.eastmoney.com/001959.html
000541,华商创新成长混合发起式,2.661011-24,-0.30%,0.15%,6.40%,10.28%,47.59%,98.73%,197.98%,112.54%,86.48%,224.02%,0.15%1.50%100元,买入定投,http://fund.eastmoney.com/000541.html
006252,永赢消费主题A,2.969311-24,-0.68%,2.08%,14.42%,22.58%,74.65%,96.89%,197.79%,---,78.69%,196.93%,0.15%1.50%100元,买入定投,http://fund.eastmoney.com/006252.html
001704,国投瑞银进宝灵活配置混合,2.415711-24,0.21%,0.97%,10.95%,9.58%,59.21%,93.26%,196.99%,134.74%,66.22%,147.58%,0.15%1.50%100元,买入定投,http://fund.eastmoney.com/001704.html
006253,永赢消费主题C,2.953511-24,-0.68%,2.08%,14.40%,22.52%,74.47%,96.39%,196.24%,---,78.37%,195.35%,0.00%100元,买入定投,http://fund.eastmoney.com/006253.html
000977,长城环保主题混合,2.314011-24,-0.69%,1.62%,3.39%,-4.11%,46.79%,108.37%,196.21%,121.65%,91.48%,131.40%,0.15%1.50%100元,买入定投,http://fund.eastmoney.com/000977.html
002780,前海联合泓鑫混合A,2.803811-24,-0.62%,2.43%,7.83%,12.49%,55.18%,103.29%,194.15%,170.90%,89.48%,180.38%,0.15%1.50%100元,买入定投,http://fund.eastmoney.com/002780.html
002190,农银新能源主题,2.302211-24,1.84%,4.80%,11.47%,24.96%,96.10%,151.22%,193.42%,88.46%,117.50%,130.22%,0.15%1.50%100元,买入定投,http://fund.eastmoney.com/002190.html
370027,上投摩根智选30混合,3.228011-24,-0.34%,0.59%,5.42%,7.64%,56.93%,87.17%,193.07%,79.28%,77.36%,278.65%,0.15%1.50%100元,买入定投,http://fund.eastmoney.com/370027.html
165516,信诚周期轮动混合(LOF),4.528011-24,0.51%,3.24%,13.06%,16.79%,65.44%,102.14%,192.32%,118.85%,84.67%,466.11%,0.15%1.50%100元,买入定投,http://fund.eastmoney.com/165516.html
162703,广发小盘成长混合(LOF)A,3.199411-24,-0.44%,0.70%,4.61%,-1.55%,23.06%,76.01%,192.13%,121.57%,57.53%,1256.87%,0.15%1.50%10元,买入定投,http://fund.eastmoney.com/162703.html
002846,泓德泓华混合,2.535911-24,-0.54%,0.38%,8.44%,14.75%,63.08%,89.11%,190.81%,144.31%,79.85%,153.59%,0.15%1.50%100元,买入定投,http://fund.eastmoney.com/002846.html
001538,上投摩根科技前沿灵活配置混合,2.584711-24,-0.29%,0.47%,4.72%,4.99%,47.95%,85.95%,190.42%,127.73%,75.95%,158.47%,0.15%1.50%100元,买入定投,http://fund.eastmoney.com/001538.html
213001,宝盈鸿利收益灵活配置混合A,2.245011-24,0.18%,3.70%,9.62%,2.79%,26.62%,76.54%,189.97%,152.50%,64.47%,1122.29%,0.15%1.50%100元,买入定投,http://fund.eastmoney.com/213001.html
001102,前海开源国家比较优势混合,3.221011-24,0.66%,2.12%,6.37%,3.70%,47.62%,85.76%,189.66%,122.29%,77.17%,222.10%,0.15%1.50%100元,买入定投,http://fund.eastmoney.com/001102.html
020023,国泰事件驱动策略混合,5.388011-24,0.20%,2.53%,11.28%,11.67%,53.99%,93.46%,189.37%,96.86%,79.54%,438.80%,0.15%1.50%100元,买入定投,http://fund.eastmoney.com/020023.html
000294,华安生态优先混合,4.185011-24,-0.55%,0.34%,5.76%,0.14%,38.48%,77.18%,189.08%,156.13%,71.52%,414.56%,0.15%1.50%10元,买入定投,http://fund.eastmoney.com/000294.html
005668,融通新能源汽车主题精选混合A,2.358311-24,-0.05%,2.14%,15.11%,20.06%,75.73%,100.69%,188.12%,---,85.49%,135.83%,0.15%1.50%100元,买入定投,http://fund.eastmoney.com/005668.html
270028,广发制造业精选混合A,5.108011-24,0.26%,2.43%,5.52%,2.45%,46.28%,96.46%,188.10%,88.77%,76.38%,410.80%,0.15%1.50%100元,买入定投,http://fund.eastmoney.com/270028.html
005136,华安幸福生活混合,2.312211-24,-0.19%,1.68%,5.66%,4.77%,58.99%,90.63%,188.05%,132.57%,77.40%,131.22%,0.15%1.50%100元,买入定投,http://fund.eastmoney.com/005136.html
003889,汇安丰泽混合A,3.768411-24,-0.39%,1.52%,8.33%,10.09%,45.69%,58.69%,187.95%,159.93%,52.39%,276.80%,0.15%1.50%100元,买入定投,http://fund.eastmoney.com/003889.html
003890,汇安丰泽混合C,3.685811-24,-0.39%,1.51%,8.32%,10.06%,45.63%,58.60%,187.84%,154.53%,52.31%,268.54%,0.00%100元,买入定投,http://fund.eastmoney.com/003890.html
260104,景顺长城内需增长混合,11.899011-24,-0.60%,0.42%,6.94%,9.60%,54.27%,69.60%,187.59%,121.67%,62.90%,2195.88%,0.15%1.50%100元,买入定投,http://fund.eastmoney.com/260104.html
001702,东方创新科技混合,1.953411-24,0.17%,3.31%,9.88%,13.02%,58.02%,104.97%,187.48%,95.07%,88.21%,95.34%,0.15%1.50%100元,买入定投,http://fund.eastmoney.com/001702.html
519727,交银成长30混合,2.310011-24,-0.43%,0.87%,7.04%,-1.07%,38.82%,54.41%,186.96%,120.63%,43.57%,231.25%,0.15%1.50%100元,买入定投,http://fund.eastmoney.com/519727.html
005888,华夏新兴消费混合A,2.861911-24,-0.25%,3.32%,14.71%,20.24%,68.60%,102.89%,186.65%,---,86.44%,186.19%,0.15%1.50%100元,买入定投,http://fund.eastmoney.com/005888.html
000924,宝盈先进制造混合A,2.264011-24,0.18%,3.85%,9.96%,3.57%,27.41%,76.68%,186.16%,170.44%,63.27%,186.94%,0.15%1.50%100元,买入定投,http://fund.eastmoney.com/000924.html
002692,富国创新科技混合,2.455011-24,0.12%,-0.32%,4.96%,0.53%,33.71%,73.99%,186.13%,121.17%,59.00%,145.50%,0.15%1.50%100元,买入定投,http://fund.eastmoney.com/002692.html
005630,华安研究精选混合,2.255111-24,-0.53%,1.38%,4.06%,-0.15%,37.72%,73.91%,185.75%,---,67.97%,125.51%,0.15%1.50%100元,买入定投,http://fund.eastmoney.com/005630.html
000940,富国中小盘精选混合,2.824011-24,-0.14%,2.02%,7.58%,5.85%,47.31%,95.43%,184.68%,102.44%,77.16%,182.40%,0.15%1.50%100元,买入定投,http://fund.eastmoney.com/000940.html
005889,华夏新兴消费混合C,2.832911-24,-0.25%,3.30%,14.66%,20.09%,68.18%,101.89%,183.80%,---,85.62%,183.29%,0.00%100元,买入定投,http://fund.eastmoney.com/005889.html
360016,光大行业轮动混合,2.132011-24,-0.51%,0.66%,5.86%,1.33%,44.35%,80.22%,183.64%,114.23%,64.51%,354.88%,0.15%1.50%100元,买入定投,http://fund.eastmoney.com/360016.html
000727,融通健康产业灵活配置混合A/B,2.700011-24,-0.66%,-0.33%,-5.23%,-12.48%,21.46%,75.32%,183.32%,155.20%,66.26%,170.00%,0.15%1.50%100元,买入定投,http://fund.eastmoney.com/000727.html
005689,中银医疗保健混合A,2.660411-24,-0.83%,-1.26%,-1.82%,-3.66%,32.83%,72.85%,183.23%,---,72.69%,172.66%,0.15%1.50%100元,买入定投,http://fund.eastmoney.com/005689.html
260109,景顺长城内需贰号混合,1.893011-24,-0.63%,0.37%,6.65%,8.23%,50.84%,66.07%,182.97%,112.13%,59.63%,938.23%,0.15%1.50%100元,买入定投,http://fund.eastmoney.com/260109.html
160605,鹏华中国50混合,2.682011-24,-0.89%,-1.22%,7.49%,8.54%,47.93%,64.54%,182.61%,106.47%,63.14%,1177.75%,0.15%1.50%100元,买入定投,http://fund.eastmoney.com/160605.html
