基金代码,基金名称,日增长率,近1周,近1月,近3月,近6月,近1年,近2年,近3年,今年来,成立来
161903,万家行业优选混合(LOF),-0.014,-0.0003,0.0214,0.0788,0.3108,0.9259,2.2472,1.9205,0.8314,9.1781
005911,广发双擎升级混合A,-0.0111,-0.0306,-0.0225,-0.0557,0.1854,0.649,2.2426,0.0,0.4878,2.242
100060,富国高新技术产业混合,-0.0069,0.0119,0.0673,0.152,0.6808,1.0348,2.1357,1.4174,0.8409,5.037
002669,华商万众创新混合,-0.0207,-0.0277,0.0283,0.0682,0.4532,1.036,2.0848,1.486,0.939,1.036
001694,华安沪港深外延增长混合,-0.0052,0.0022,0.0078,0.0649,0.5412,0.89,2.0192,1.439,0.7609,2.7927
002939,广发创新升级混合,-0.0124,-0.03,-0.0124,-0.061,0.2142,0.7301,1.9971,1.1827,0.5749,2.0318
000263,工银信息产业混合,-0.0109,-0.0117,0.0604,0.189,0.6995,1.055,1.9875,1.5162,0.9409,3.4567
005812,鹏华产业精选,-0.0208,0.0024,0.0432,0.0839,0.412,0.6801,1.986,0.0,0.6873,1.1562
001679,前海开源中国稀缺资产混合A,-0.0172,-0.0338,-0.0055,0.01,0.4232,0.8096,1.9811,2.0496,0.7603,1.519
002079,前海开源中国稀缺资产混合C,-0.0168,-0.0337,-0.0053,0.0103,0.4229,0.8081,1.9741,2.0962,0.7598,1.638
001832,易方达瑞恒灵活配置混合,-0.0031,0.0165,0.1055,0.1594,0.5655,0.7623,1.9547,0.0,0.6994,1.284
481010,工银中小盘混合,-0.0201,-0.0124,0.0097,0.1264,0.5998,1.1372,1.934,1.339,0.9547,2.022
161818,银华消费主题混合,-0.0016,0.0145,0.0614,0.0969,0.493,0.7333,1.9302,0.8491,0.665,1.601
003516,国泰融安多策略灵活配置混合,-0.0086,0.002,0.014,0.0377,0.3179,0.6631,1.908,1.7523,0.6327,1.8318
001856,易方达环保主题混合,-0.0112,-0.0033,0.0451,0.1289,0.6133,0.9978,1.8982,1.4868,0.8087,1.733
006252,永赢消费主题A,-0.0063,0.0149,0.0868,0.1874,0.6641,0.9041,1.8837,0.0,0.7394,1.8903
519002,华安安信消费混合,-0.0099,-0.0045,0.0006,-0.0045,0.3896,0.8558,1.8819,1.4095,0.7636,3.2542
000541,华商创新成长混合发起式,-0.0218,-0.0288,0.0232,0.0527,0.3996,0.9096,1.8687,0.9931,0.8213,2.1647
006253,永赢消费主题C,-0.0063,0.0148,0.0867,0.1868,0.6623,0.8992,1.8687,0.0,0.7363,1.875
519133,海富通改革驱动混合,0.004,0.0137,0.0282,0.0572,0.5057,1.0581,1.8622,1.3013,0.8131,1.9591
519778,交银经济新动力混合,-0.0111,-0.0159,-0.0057,-0.041,0.339,0.5873,1.8378,1.4221,0.4432,1.8486
003889,汇安丰泽混合A,0.0003,0.0038,0.0422,0.0779,0.4182,0.5281,1.8109,1.5049,0.5016,2.7128
003890,汇安丰泽混合C,0.0003,0.0037,0.0421,0.0776,0.4177,0.5273,1.8097,1.4526,0.5008,2.6314
005689,中银医疗保健混合A,-0.0139,-0.0227,-0.0787,-0.0386,0.3025,0.686,1.7739,0.0,0.7247,1.7231
000977,长城环保主题混合,-0.0123,-0.0278,-0.0526,-0.0797,0.3952,0.9983,1.7712,1.0941,0.8611,1.2491
001538,上投摩根科技前沿灵活配置混合,-0.017,-0.0206,-0.022,0.0297,0.4168,0.8025,1.7608,1.199,0.7215,1.5289
005888,华夏新兴消费混合A,-0.0051,0.0157,0.1068,0.1571,0.587,0.9286,1.756,0.0,0.7954,1.756
001606,农银工业4.0混合,-0.0193,-0.033,-0.0032,0.1304,0.7329,1.2084,1.7559,0.8084,1.0548,1.6942
001959,华商乐享互联灵活配置混合,0.0007,0.0376,0.1286,0.0623,0.3327,0.7368,1.755,0.7901,0.6098,0.518
000727,融通健康产业灵活配置混合A/B,-0.003,-0.0263,-0.1036,-0.0994,0.1784,0.7494,1.7477,1.5009,0.6632,1.701
260104,景顺长城内需增长混合,-0.0182,-0.0269,0.023,0.0723,0.4778,0.6287,1.7434,1.1257,0.5926,21.4456
002846,泓德泓华混合,-0.013,-0.0186,0.0304,0.1396,0.5762,0.8762,1.7431,1.3884,0.7684,1.4935
160605,鹏华中国50混合,-0.021,-0.0199,0.046,0.084,0.4275,0.5831,1.743,0.9289,0.6168,11.6632
519727,交银成长30混合,-0.0118,-0.0096,0.0139,-0.0439,0.3249,0.5117,1.743,1.1289,0.4065,2.2451
000336,农银研究精选混合,-0.0192,-0.0342,-0.0246,0.0922,0.671,1.2256,1.7368,0.9109,1.0038,1.8851
481015,工银主题策略混合,-0.0245,-0.0194,0.0149,0.1338,0.6099,1.0097,1.7349,0.7792,0.8678,2.941
001704,国投瑞银进宝灵活配置混合,-0.0206,-0.0276,0.0306,0.0778,0.5066,0.8754,1.7346,1.2671,0.6124,1.4016
161706,招商优质成长混合(LOF),-0.0089,-0.0083,0.0117,0.0379,0.4916,0.7535,1.7323,1.0946,0.7456,11.0253
002692,富国创新科技混合,-0.0028,0.0119,0.0074,0.0045,0.3141,0.7357,1.7289,1.1677,0.5907,1.456
005889,华夏新兴消费混合C,-0.0051,0.0156,0.1064,0.1557,0.5831,0.9192,1.7287,0.0,0.7877,1.7284
162703,广发小盘成长混合(LOF)A,-0.0135,-0.0411,-0.0324,-0.0605,0.169,0.6907,1.7203,1.106,0.5431,12.2918
370027,上投摩根智选30混合,-0.0153,-0.0174,-0.006,0.0611,0.5005,0.809,1.7155,0.7526,0.7363,2.7067
000294,华安生态优先混合,-0.017,-0.0177,-0.0027,-0.024,0.3158,0.6907,1.7016,1.4858,0.6803,4.0411
005136,华安幸福生活混合,-0.0069,-0.0052,-0.0147,0.028,0.5141,0.8357,1.7016,1.263,0.7328,1.2585
360016,光大行业轮动混合,-0.0151,-0.017,0.0,-0.0048,0.3787,0.7559,1.6994,1.088,0.6096,3.4507
260109,景顺长城内需贰号混合,-0.0186,-0.0273,0.0215,0.0583,0.4472,0.5935,1.6935,1.0346,0.5608,9.152
002780,前海联合泓鑫混合A,-0.0153,-0.0212,-0.0026,0.0883,0.4589,0.9567,1.6906,1.5818,0.8216,1.6954
162605,景顺长城鼎益混合(LOF),-0.0184,-0.0228,0.0312,0.0809,0.4977,0.6376,1.6903,1.3175,0.6146,19.6017
165516,信诚周期轮动混合(LOF),-0.015,0.0049,0.042,0.1192,0.5489,0.9149,1.6849,1.0397,0.7618,4.4011
005630,华安研究精选混合,-0.0039,-0.0024,-0.0002,-0.004,0.3203,0.6557,1.6819,0.0,0.6504,1.2158
000167,广发聚优灵活配置混合A,-0.0119,-0.0064,0.0523,0.1126,0.4816,0.6309,1.6759,0.988,0.6281,2.3044
005050,长安鑫旺价值混合C,-0.0138,-0.0202,0.0243,0.1111,0.3848,0.6332,1.6684,1.2693,0.5735,1.5293
460005,华泰柏瑞价值增长混合A,-0.0307,-0.0255,-0.062,-0.0675,0.2143,0.6166,1.6679,1.1686,0.5453,8.1148
519915,富国消费主题混合,-0.0067,-0.0137,-0.0034,0.0148,0.4107,0.6425,1.6637,1.364,0.6205,1.4576
020023,国泰事件驱动策略混合,-0.0078,0.007,0.0362,0.0869,0.4447,0.8282,1.6629,0.8366,0.7374,4.214
050026,博时医疗保健行业混合A,-0.0217,-0.0306,-0.1093,-0.0991,0.2005,0.5498,1.6626,1.4269,0.6225,3.1428
005049,长安鑫旺价值混合A,-0.0138,-0.0201,0.0245,0.1116,0.3858,0.6351,1.6575,1.2564,0.5756,1.5187
004868,交银股息优化混合,-0.006,-0.0085,0.0839,0.1746,0.6252,0.8793,1.6552,1.2757,0.8262,1.4962
