基金代码,重仓股票代码,股票名称,持仓占比,持仓截止日期
161903,002594,比亚迪,9.26%,2020-09-30
161903,603986,兆易创新,8.75%,2020-09-30
161903,600588,用友网络,8.70%,2020-09-30
161903,300454,深信服,8.50%,2020-09-30
161903,300676,华大基因,6.33%,2020-09-30
161903,300124,汇川技术,6.24%,2020-09-30
161903,300012,华测检测,5.98%,2020-09-30
161903,002352,顺丰控股,5.98%,2020-09-30
161903,002439,启明星辰,5.94%,2020-09-30
161903,601633,长城汽车,4.35%,2020-09-30
161903,603986,兆易创新,8.92%,2020-06-30
161903,600588,用友网络,8.86%,2020-06-30
161903,002594,比亚迪,8.69%,2020-06-30
161903,002352,顺丰控股,7.86%,2020-06-30
161903,300676,华大基因,7.14%,2020-06-30
161903,300454,深信服,6.44%,2020-06-30
161903,300012,华测检测,6.18%,2020-06-30
161903,002439,启明星辰,5.77%,2020-06-30
161903,300223,北京君正,3.95%,2020-06-30
161903,300750,宁德时代,3.68%,2020-06-30
161903,002594,比亚迪,9.23%,2020-03-31
161903,603986,兆易创新,7.82%,2020-03-31
161903,600588,用友网络,7.62%,2020-03-31
161903,002352,顺丰控股,6.29%,2020-03-31
161903,300012,华测检测,6.13%,2020-03-31
161903,002439,启明星辰,6.00%,2020-03-31
161903,300454,深信服,5.37%,2020-03-31
161903,300676,华大基因,4.69%,2020-03-31
161903,300750,宁德时代,4.14%,2020-03-31
161903,603882,金域医学,4.11%,2020-03-31
100060,300124,汇川技术,8.95%,2020-09-30
100060,002027,分众传媒,8.93%,2020-09-30
100060,002493,荣盛石化,6.42%,2020-09-30
100060,300408,三环集团,5.99%,2020-09-30
100060,601899,紫金矿业,5.10%,2020-09-30
100060,600426,华鲁恒升,5.05%,2020-09-30
100060,600309,万华化学,4.92%,2020-09-30
100060,300896,爱美客,3.58%,2020-09-30
100060,002859,洁美科技,3.40%,2020-09-30
100060,603757,大元泵业,3.25%,2020-09-30
100060,300014,亿纬锂能,7.63%,2020-06-30
100060,300750,宁德时代,7.44%,2020-06-30
100060,688111,金山办公,7.35%,2020-06-30
100060,603129,春风动力,7.21%,2020-06-30
100060,688208,道通科技,6.41%,2020-06-30
100060,600570,恒生电子,4.71%,2020-06-30
100060,002859,洁美科技,4.51%,2020-06-30
100060,688023,安恒信息,3.96%,2020-06-30
100060,300760,迈瑞医疗,3.86%,2020-06-30
100060,603259,药明康德,3.58%,2020-06-30
100060,603444,吉比特,8.60%,2020-03-31
100060,002555,三七互娱,7.51%,2020-03-31
100060,300760,迈瑞医疗,6.01%,2020-03-31
100060,600216,浙江医药,5.14%,2020-03-31
100060,603259,药明康德,4.96%,2020-03-31
100060,000977,浪潮信息,4.71%,2020-03-31
100060,600522,中天科技,4.66%,2020-03-31
100060,002475,立讯精密,4.56%,2020-03-31
100060,688111,金山办公,4.51%,2020-03-31
100060,600570,恒生电子,4.48%,2020-03-31
005911,601012,隆基股份,10.04%,2020-09-30
005911,300601,康泰生物,8.02%,2020-09-30
005911,600438,通威股份,7.54%,2020-09-30
005911,000725,京东方A,6.44%,2020-09-30
005911,300014,亿纬锂能,6.00%,2020-09-30
005911,600703,三安光电,5.55%,2020-09-30
005911,300661,圣邦股份,5.31%,2020-09-30
005911,300529,健帆生物,4.62%,2020-09-30
005911,600436,片仔癀,4.43%,2020-09-30
005911,603986,兆易创新,4.22%,2020-09-30
005911,300601,康泰生物,7.81%,2020-06-30
005911,601012,隆基股份,6.52%,2020-06-30
005911,300014,亿纬锂能,6.33%,2020-06-30
005911,300661,圣邦股份,5.92%,2020-06-30
005911,600703,三安光电,5.68%,2020-06-30
005911,000661,长春高新,5.59%,2020-06-30
005911,600276,恒瑞医药,5.35%,2020-06-30
005911,600588,用友网络,5.09%,2020-06-30
005911,300529,健帆生物,4.75%,2020-06-30
005911,600436,片仔癀,4.75%,2020-06-30
005911,300601,康泰生物,7.20%,2020-03-31
005911,000063,中兴通讯,5.63%,2020-03-31
005911,600703,三安光电,5.60%,2020-03-31
005911,600536,中国软件,4.93%,2020-03-31
005911,600588,用友网络,4.69%,2020-03-31
005911,000977,浪潮信息,4.56%,2020-03-31
005911,300014,亿纬锂能,4.47%,2020-03-31
005911,300529,健帆生物,4.45%,2020-03-31
005911,000938,紫光股份,4.43%,2020-03-31
005911,300661,圣邦股份,4.03%,2020-03-31
001679,600519,贵州茅台,9.43%,2020-09-30
001679,300677,英科医疗,9.33%,2020-09-30
001679,300750,宁德时代,8.57%,2020-09-30
001679,000858,五粮液,8.36%,2020-09-30
001679,000661,长春高新,8.08%,2020-09-30
001679,002241,歌尔股份,8.03%,2020-09-30
001679,000860,顺鑫农业,7.68%,2020-09-30
001679,603939,益丰药房,5.09%,2020-09-30
001679,600436,片仔癀,4.10%,2020-09-30
001679,300015,爱尔眼科,3.57%,2020-09-30
001679,000661,长春高新,9.48%,2020-06-30
001679,600519,贵州茅台,8.95%,2020-06-30
001679,002241,歌尔股份,8.43%,2020-06-30
001679,300677,英科医疗,8.30%,2020-06-30
001679,000860,顺鑫农业,8.21%,2020-06-30
001679,300750,宁德时代,8.00%,2020-06-30
001679,600436,片仔癀,6.87%,2020-06-30
001679,603939,益丰药房,5.43%,2020-06-30
001679,300347,泰格医药,4.02%,2020-06-30
001679,603429,集友股份,3.81%,2020-06-30
001679,000661,长春高新,9.95%,2020-03-31
001679,600519,贵州茅台,9.95%,2020-03-31
001679,000860,顺鑫农业,9.89%,2020-03-31
001679,600436,片仔癀,8.51%,2020-03-31
001679,600547,山东黄金,7.81%,2020-03-31
001679,300677,英科医疗,6.78%,2020-03-31
001679,300015,爱尔眼科,4.53%,2020-03-31
001679,603939,益丰药房,4.15%,2020-03-31
001679,600161,天坛生物,4.13%,2020-03-31
001679,603429,集友股份,4.01%,2020-03-31
002079,600519,贵州茅台,9.43%,2020-09-30
002079,300677,英科医疗,9.33%,2020-09-30
002079,300750,宁德时代,8.57%,2020-09-30
002079,000858,五粮液,8.36%,2020-09-30
002079,000661,长春高新,8.08%,2020-09-30
002079,002241,歌尔股份,8.03%,2020-09-30
002079,000860,顺鑫农业,7.68%,2020-09-30
002079,603939,益丰药房,5.09%,2020-09-30
002079,600436,片仔癀,4.10%,2020-09-30
002079,300015,爱尔眼科,3.57%,2020-09-30
002079,000661,长春高新,9.48%,2020-06-30
002079,600519,贵州茅台,8.95%,2020-06-30
002079,002241,歌尔股份,8.43%,2020-06-30
002079,300677,英科医疗,8.30%,2020-06-30
002079,000860,顺鑫农业,8.21%,2020-06-30
002079,300750,宁德时代,8.00%,2020-06-30
002079,600436,片仔癀,6.87%,2020-06-30
002079,603939,益丰药房,5.43%,2020-06-30
002079,300347,泰格医药,4.02%,2020-06-30
002079,603429,集友股份,3.81%,2020-06-30
002079,000661,长春高新,9.95%,2020-03-31
002079,600519,贵州茅台,9.95%,2020-03-31
002079,000860,顺鑫农业,9.89%,2020-03-31
002079,600436,片仔癀,8.51%,2020-03-31
002079,600547,山东黄金,7.81%,2020-03-31
002079,300677,英科医疗,6.78%,2020-03-31
002079,300015,爱尔眼科,4.53%,2020-03-31
002079,603939,益丰药房,4.15%,2020-03-31
002079,600161,天坛生物,4.13%,2020-03-31
002079,603429,集友股份,4.01%,2020-03-31
481010,300274,阳光电源,5.65%,2020-09-30
481010,603129,春风动力,5.52%,2020-09-30
481010,002812,恩捷股份,5.12%,2020-09-30
481010,300037,新宙邦,4.92%,2020-09-30
481010,002460,赣锋锂业,4.48%,2020-09-30
481010,603456,九洲药业,4.40%,2020-09-30
481010,002459,晶澳科技,3.77%,2020-09-30
481010,300759,康龙化成,3.57%,2020-09-30
481010,601012,隆基股份,3.20%,2020-09-30
481010,601222,林洋能源,3.05%,2020-09-30
481010,300037,新宙邦,5.32%,2020-06-30
481010,603520,司太立,5.29%,2020-06-30
481010,300759,康龙化成,4.95%,2020-06-30
481010,300274,阳光电源,4.88%,2020-06-30
481010,002460,赣锋锂业,4.70%,2020-06-30
481010,603456,九洲药业,4.48%,2020-06-30
481010,603129,春风动力,3.98%,2020-06-30
481010,002568,百润股份,3.85%,2020-06-30
481010,300132,青松股份,3.58%,2020-06-30
481010,603290,斯达半导,3.50%,2020-06-30
481010,603456,九洲药业,5.53%,2020-03-31
481010,300529,健帆生物,5.46%,2020-03-31
481010,300037,新宙邦,5.18%,2020-03-31
481010,603520,司太立,4.61%,2020-03-31
481010,300132,青松股份,4.09%,2020-03-31
481010,002138,顺络电子,3.18%,2020-03-31
481010,300450,先导智能,3.17%,2020-03-31
481010,300630,普利制药,2.94%,2020-03-31
481010,600872,中炬高新,2.83%,2020-03-31
481010,300760,迈瑞医疗,2.80%,2020-03-31
002939,601012,隆基股份,10.32%,2020-09-30
002939,300601,康泰生物,8.22%,2020-09-30
002939,600438,通威股份,8.05%,2020-09-30
002939,600703,三安光电,7.07%,2020-09-30
002939,000725,京东方A,6.52%,2020-09-30
002939,300661,圣邦股份,5.60%,2020-09-30
002939,300014,亿纬锂能,5.59%,2020-09-30
002939,300529,健帆生物,4.94%,2020-09-30
002939,002371,北方华创,3.94%,2020-09-30
002939,603259,药明康德,3.77%,2020-09-30
002939,300601,康泰生物,8.36%,2020-06-30
002939,300661,圣邦股份,6.51%,2020-06-30
002939,300014,亿纬锂能,6.17%,2020-06-30
002939,000661,长春高新,6.07%,2020-06-30
002939,600703,三安光电,5.80%,2020-06-30
002939,601012,隆基股份,5.75%,2020-06-30
002939,300529,健帆生物,5.51%,2020-06-30
002939,600438,通威股份,5.46%,2020-06-30
002939,600276,恒瑞医药,5.12%,2020-06-30
002939,600536,中国软件,4.59%,2020-06-30
002939,300601,康泰生物,7.53%,2020-03-31
002939,600703,三安光电,5.67%,2020-03-31
002939,000063,中兴通讯,5.35%,2020-03-31
002939,600536,中国软件,5.33%,2020-03-31
002939,300529,健帆生物,5.04%,2020-03-31
002939,300661,圣邦股份,4.87%,2020-03-31
002939,000661,长春高新,4.63%,2020-03-31
002939,000725,京东方A,4.56%,2020-03-31
002939,300014,亿纬锂能,4.31%,2020-03-31
002939,603986,兆易创新,4.23%,2020-03-31
002669,000858,五粮液,7.33%,2020-09-30
002669,002475,立讯精密,6.95%,2020-09-30
002669,601012,隆基股份,6.35%,2020-09-30
002669,300122,智飞生物,5.12%,2020-09-30
002669,300750,宁德时代,5.05%,2020-09-30
002669,000568,泸州老窖,4.99%,2020-09-30
002669,002241,歌尔股份,4.97%,2020-09-30
002669,300450,先导智能,4.00%,2020-09-30
002669,603707,健友股份,3.85%,2020-09-30
002669,603730,岱美股份,3.81%,2020-09-30
002669,000858,五粮液,5.98%,2020-06-30
002669,600519,贵州茅台,5.86%,2020-06-30
002669,601012,隆基股份,4.74%,2020-06-30
002669,002127,南极电商,4.58%,2020-06-30
002669,300122,智飞生物,3.97%,2020-06-30
002669,300630,普利制药,3.77%,2020-06-30
002669,300750,宁德时代,3.72%,2020-06-30
002669,603538,美诺华,3.56%,2020-06-30
002669,002332,仙琚制药,3.43%,2020-06-30
002669,002409,雅克科技,3.38%,2020-06-30
002669,300630,普利制药,9.10%,2020-03-31
002669,603707,健友股份,7.49%,2020-03-31
002669,000977,浪潮信息,6.27%,2020-03-31
002669,000063,中兴通讯,5.72%,2020-03-31
002669,603019,中科曙光,5.00%,2020-03-31
002669,002332,仙琚制药,4.14%,2020-03-31
002669,300575,中旗股份,4.05%,2020-03-31
002669,300702,天宇股份,3.81%,2020-03-31
002669,002409,雅克科技,3.77%,2020-03-31
002669,002507,涪陵榨菜,3.74%,2020-03-31
000263,002430,杭氧股份,6.03%,2020-09-30
000263,002027,分众传媒,5.40%,2020-09-30
000263,300750,宁德时代,4.20%,2020-09-30
000263,300274,阳光电源,3.46%,2020-09-30
000263,002410,广联达,3.45%,2020-09-30
000263,600563,法拉电子,3.41%,2020-09-30
000263,000858,五粮液,3.22%,2020-09-30
000263,002241,歌尔股份,3.20%,2020-09-30
000263,300012,华测检测,3.11%,2020-09-30
000263,300059,东方财富,3.04%,2020-09-30
000263,002410,广联达,4.98%,2020-06-30
000263,002430,杭氧股份,4.83%,2020-06-30
000263,300750,宁德时代,4.59%,2020-06-30
000263,600570,恒生电子,4.53%,2020-06-30
000263,002241,歌尔股份,4.48%,2020-06-30
000263,300059,东方财富,4.38%,2020-06-30
000263,002027,分众传媒,3.87%,2020-06-30
000263,600563,法拉电子,3.66%,2020-06-30
000263,002475,立讯精密,3.60%,2020-06-30
000263,300012,华测检测,3.60%,2020-06-30
000263,002410,广联达,4.74%,2020-03-31
000263,600183,生益科技,4.03%,2020-03-31
000263,300059,东方财富,3.61%,2020-03-31
000263,600872,中炬高新,3.17%,2020-03-31
000263,002430,杭氧股份,3.16%,2020-03-31
000263,300012,华测检测,3.07%,2020-03-31
000263,600570,恒生电子,2.88%,2020-03-31
000263,002475,立讯精密,2.88%,2020-03-31
000263,002415,海康威视,2.86%,2020-03-31
000263,000625,长安汽车,2.76%,2020-03-31
001694,601012,隆基股份,8.62%,2020-09-30
001694,03690,美团-W,6.79%,2020-09-30
001694,000739,普洛药业,4.99%,2020-09-30
001694,300274,阳光电源,3.78%,2020-09-30
001694,300059,东方财富,3.29%,2020-09-30
001694,06865,福莱特玻璃,3.24%,2020-09-30
001694,002025,航天电器,3.10%,2020-09-30
001694,00968,信义光能,2.61%,2020-09-30
001694,600519,贵州茅台,2.34%,2020-09-30
001694,000977,浪潮信息,2.20%,2020-09-30
001694,601012,隆基股份,7.32%,2020-06-30
001694,03888,金山软件,7.08%,2020-06-30
001694,000739,普洛药业,6.05%,2020-06-30
001694,300433,蓝思科技,5.89%,2020-06-30
001694,300274,阳光电源,5.29%,2020-06-30
001694,000977,浪潮信息,4.97%,2020-06-30
001694,600519,贵州茅台,4.22%,2020-06-30
001694,002475,立讯精密,4.05%,2020-06-30
001694,002028,思源电气,4.02%,2020-06-30
001694,002106,莱宝高科,3.22%,2020-06-30
001694,000739,普洛药业,6.57%,2020-03-31
001694,601933,永辉超市,5.74%,2020-03-31
001694,03888,金山软件,5.23%,2020-03-31
