基金代码,基金链接,基金名称,日期,日增长率,近1周,近1月,近3月,近6月,近1年,近2年,近3年,今年来,成立来
000336,http://fund.eastmoney.com/000336.html,农银研究精选混合,03-16,0.71%,1.41%,-17.94%,3.69%,22.69%,116.10%,197.45%,153.64%,-9.31%,232.82%
002132,http://fund.eastmoney.com/002132.html,广发鑫享混合,03-16,0.04%,0.46%,-15.37%,6.98%,24.59%,92.99%,183.27%,135.37%,1.51%,142.20%
001679,http://fund.eastmoney.com/001679.html,前海开源中国稀缺资产混合A,03-16,0.41%,1.30%,-22.28%,4.37%,23.52%,99.33%,178.38%,283.18%,-5.06%,196.20%
002079,http://fund.eastmoney.com/002079.html,前海开源中国稀缺资产混合C,03-16,0.45%,1.31%,-22.26%,4.38%,23.50%,99.17%,177.87%,281.90%,-5.05%,210.10%
002939,http://fund.eastmoney.com/002939.html,广发创新升级混合,03-16,1.28%,1.96%,-23.17%,3.33%,8.40%,44.19%,174.32%,150.83%,-5.72%,222.39%
005730,http://fund.eastmoney.com/005730.html,国泰江源优势精选混合A,03-16,0.65%,4.68%,-7.74%,21.10%,29.54%,101.83%,174.15%,---,15.13%,117.37%
001606,http://fund.eastmoney.com/001606.html,农银工业4.0混合,03-16,0.69%,1.48%,-17.83%,0.77%,24.33%,116.49%,168.55%,112.92%,-12.48%,205.90%
001694,http://fund.eastmoney.com/001694.html,华安沪港深外延增长混合,03-16,0.58%,1.12%,-12.70%,8.02%,16.68%,82.19%,165.70%,164.23%,-0.85%,316.17%
100060,http://fund.eastmoney.com/100060.html,富国高新技术产业混合,03-16,-0.44%,-1.93%,-16.84%,7.13%,22.14%,95.80%,165.66%,147.57%,-0.63%,537.18%
005911,http://fund.eastmoney.com/005911.html,广发双擎升级混合A,03-16,0.89%,1.16%,-23.06%,0.74%,3.98%,36.28%,164.92%,---,-7.05%,236.50%
090018,http://fund.eastmoney.com/090018.html,大成新锐产业混合,03-16,0.39%,4.87%,-2.57%,29.25%,32.56%,126.20%,164.72%,150.55%,20.62%,499.72%
002780,http://fund.eastmoney.com/002780.html,前海联合泓鑫混合A,03-16,1.17%,3.64%,-23.42%,0.74%,17.76%,90.46%,162.95%,185.51%,-7.22%,190.93%
006252,http://fund.eastmoney.com/006252.html,永赢消费主题A,03-16,0.97%,2.85%,-17.12%,10.40%,33.18%,98.86%,162.80%,---,1.61%,232.29%
007043,http://fund.eastmoney.com/007043.html,前海联合泓鑫混合C,03-16,1.17%,3.63%,-23.45%,0.64%,17.53%,89.69%,162.52%,---,-7.30%,174.14%
002340,http://fund.eastmoney.com/002340.html,富国价值优势混合,03-16,1.15%,3.83%,-12.45%,9.80%,21.98%,92.67%,161.31%,136.87%,3.83%,241.80%
006253,http://fund.eastmoney.com/006253.html,永赢消费主题C,03-16,0.96%,2.85%,-17.13%,10.35%,33.05%,98.46%,161.06%,---,1.57%,230.32%
519133,http://fund.eastmoney.com/519133.html,海富通改革驱动混合,03-16,0.41%,2.78%,-10.80%,6.61%,15.76%,83.20%,160.51%,152.48%,3.13%,218.41%
